event, group, country, athlete_name, distance_M
Womens Javelin Throw,group A,RSA,VAN DYK,64.22 
Womens Javelin Throw,group A,AUS,LITTLE,62.82 
Womens Javelin Throw,group A,AUS,MITCHELL,62.40 
Womens Javelin Throw,group A,CZE,OGRODNIKOVA,61.16
Womens Javelin Throw,group A,COL,MURILLO,60.38 
Womens Javelin Throw,group A,LAT,MUZE-SIRMA,60.30 
Womens Javelin Throw,group A,GER,HUSSONG,59.99 
Womens Javelin Throw,group A,NZL,PETERS,59.78 
Womens Javelin Throw,group A,AUT,HUDSON,59.69	
Womens Javelin Throw,group A,JPN,SAITO,59.42 
Womens Javelin Throw,group A,CHN,DAI ,59.33 
Womens Javelin Throw,group A,USA,MALONE-HARDIN,58.76 
Womens Javelin Throw,group A,BAH,OTABOR	,57.67 
Womens Javelin Throw,group A,BRA,DE LIMA,57.56 
Womens Javelin Throw,group A,IND,RANI	,55.81 
Womens Javelin Throw,group A,SRI,LEKAMGE,53.66 
Womens Javelin Throw,group B,POL,ANDREJCZYK,65.52
Womens Javelin Throw,group B,CRO,KOLAK,64.57
Womens Javelin Throw,group B,GRE,TZENGKO,63.22
Womens Javelin Throw,group B,JPN,HARUKA,62.58
Womens Javelin Throw,group B,ESP,AGUILAR,61.95
Womens Javelin Throw,group B,NOR,OBST,61.82
Womens Javelin Throw,group B,JPN,UEDA,61.08
Womens Javelin Throw,group B,SRB,VILAGOS,60.49
Womens Javelin Throw,group B,LAT,SIETINA,60.47
Womens Javelin Throw,group B,AUS,BARBER,57.73
Womens Javelin Throw,group B,CHN,LYU,59.37
Womens Javelin Throw,group B,TUR,TUGSUZ,55.30
Womens Javelin Throw,FINAL,JPN	,KITAGUCHI			,65.80
Womens Javelin Throw ,FINAL,RSA	,VAN DYK				,63.93
Womens Javelin Throw ,FINAL,CZE	,OGRODNIKOVA		,63.68
Womens Javelin Throw ,FINAL,CRO ,KOLAK					,63.40
Womens Javelin Throw ,FINAL,COL	,RUIZ HURTADO	,63.00
Womens Javelin Throw ,FINAL,ESP	,AGUILAR				,62.78
Womens Javelin Throw ,FINAL,AUS	,MITCHELL			,62.63
Womens Javelin Throw ,FINAL,POL	,ANDREICZYK		,62.44
Womens Javelin Throw ,FINAL,GRE	,TZENGKO				,61.85
Womens Javelin Throw ,FINAL,JPN	,UEDA					,61.64
Womens Javelin Throw ,FINAL,NOR,	OBST					,61.14
Womens Javelin Throw ,FINAL,AUS	,LITTLE				,60.32


Mens Javalin Throw , FINAL, PAK	,NADEEM		,92.97 
Mens Javalin Throw , FINAL, IND	,CHOPRA		,89.45
Mens Javalin Throw , FINAL, GRN	,PETERS		,88.54
Mens Javalin Throw , FINAL, CZE	,VADLEJCH	,88.50 
Mens Javalin Throw , FINAL, KEN	,YEGO			,87.72
Mens Javalin Throw , FINAL, GER	,WEBER			,87.40 
Mens Javalin Throw , FINAL, TTO ,WALCOTT		,86.16
Mens Javalin Throw , FINAL, FIN	,ETELATALO	,84.58
Mens Javalin Throw , FINAL, FIN	,HELANDER	,82.68
Mens Javalin Throw , FINAL, FIN	,KERANEN		,80.92
Mens Javalin Throw , FINAL, BRA	,SILVA			,80.67
Mens Javalin Throw , FINAL, MDA ,MARDARE		,80.10 
