WOMENS 59 kg WEIGHTLIFTING , group , country, athlete_name, snatch_ kg , clean_and_jerk_kg, total_kg
WOMENS 59 kg WEIGHTLIFTING , final , CHN,	LUO, 107, 134, 241
WOMENS 59 kg WEIGHTLIFTING , final , CAN,	CHARRON,106,130,236
WOMENS 59 kg WEIGHTLIFTING , final , COL,	ALVAREZ,105, 0, 105
WOMENS 59 kg WEIGHTLIFTING , final , TPE, KUO,105, 130, 235
WOMENS 59 kg WEIGHTLIFTING , final , UKR, KONOTOP,104,123, 227
WOMENS 59 kg WEIGHTLIFTING , final , VEN, VENEGAS VALERA,102, 128, 230
WOMENS 59 kg WEIGHTLIFTING , final , NGR, LAWAL,100,130, 230
WOMENS 59 kg WEIGHTLIFTING , final , PHI, ANDO,100,130, 230
WOMENS 59 kg WEIGHTLIFTING , final , FRA, TCHAKIUNTE, 98,115, 213
WOMENS 59 kg WEIGHTLIFTING , final , ITA, MAGISTRIS,96,112, 208
WOMENS 59 kg WEIGHTLIFTING , final , MEX, GOMEZ VALDIVIA, 95,122, 217
WOMENS 59 kg WEIGHTLIFTING , final , MHL, SASSER, 94,115, 209
WOMEN'S 49 kg WEIGHTLIFTING , final , CHN, HOU,89, 117, 206
WOMEN'S 49 kg WEIGHTLIFTING , final , ROU, CAMBEI,93,112,205
WOMEN'S 49 kg WEIGHTLIFTING , final , THA, KHAMBAO,88,112,200
WOMEN'S 49 kg WEIGHTLIFTING , final , IND, SAIKOM,88, 111,199
WOMEN'S 49 kg WEIGHTLIFTING , final , USA, DELACRUZ,84,111,195
WOMEN'S 49 kg WEIGHTLIFTING , final , TPE, FANG, 86,107,193
WOMEN'S 49 kg WEIGHTLIFTING , final , DOM, PIRON CANDELARIO,85,107,192
WOMEN'S 49 kg WEIGHTLIFTING , final , JPN, SUZUKI,83,108,191
WOMEN'S 49 kg WEIGHTLIFTING , final , VEN, ZARATE,83,105, 188
WOMEN'S 49 kg WEIGHTLIFTING , final , MAD, RANDAFIARISON,80,100, 180
WOMEN'S 49 kg WEIGHTLIFTING , final , GUM, LAGATAO,59,77,136
WOMEN'S 49 kg WEIGHTLIFTING , final , BEL, TERCKX, 0,0,0
WOMENS 71KG WEIGHTLIFTING , FINAL, USA, REEVES,	117,145, 262
WOMENS 71KG WEIGHTLIFTING , FINAL, COL, SANCHEZ,112,145 , 257
WOMENS 71KG WEIGHTLIFTING , FINAL, ECU, PALACIOS DAJOMES, 116,140 , 256
WOMENS 71KG WEIGHTLIFTING , FINAL, AIN, VALODSKA, 111,135 , 246
WOMENS 71KG WEIGHTLIFTING , FINAL, FRA, FEGUE,110,133 , 243
WOMENS 71KG WEIGHTLIFTING , FINAL, TPE, CHEN,103,133 , 236
WOMENS 71KG WEIGHTLIFTING , FINAL, NGR, EZE, 101,131 , 232
WOMENS 71KG WEIGHTLIFTING , FINAL, BRA, COSTA SCHOTT, 106,123 , 229
WOMENS 71KG WEIGHTLIFTING , FINAL, EGY, SAID,97,125 , 222
WOMENS 71KG WEIGHTLIFTING , FINAL, AUS, NICHELE, 94,115 , 209
WOMENS 71KG WEIGHTLIFTING , FINAL, ROU, TOMA, 115,0 ,115
WOMENS 71KG WEIGHTLIFTING , FINAL, PHI, SARNO, 0,0,0
